customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1021-67218F,Male,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.11,1705.31,Yes
1022-2BD2E6,Male,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,67.7,387.89,No
1023-74F52A,Female,0,No,No,11,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,72.83,791.93,No
1024-51D533,Male,1,No,No,11,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.53,666.89,Yes
1025-AA1607,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),76.69,173.78,Yes
1026-98F908,Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),70.44,3298.02,No
1027-821481,Male,0,No,Yes,70,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),33.79,2366.12,No
1028-B2D827,Female,0,No,No,19,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,29.11,567.73,No
1029-C1A8B4,Female,0,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,60.94,509.67,Yes
1030-D8C525,Male,1,No,Yes,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,74.13,0.0,No
1031-77A804,Male,0,No,No,16,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.05,312.83,No
1032-DBC16C,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),86.91,1925.19,Yes
1033-BA0626,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),74.88,1284.91,No
1034-A7A7D4,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,78.44,544.29,Yes
1035-4FD66D,Male,0,Yes,Yes,6,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),61.81,361.55,No
1036-0168EE,Female,0,Yes,No,13,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.19,836.62,Yes
1037-C8CFA4,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.48,384.09,Yes
1038-D7215A,Female,0,Yes,No,16,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,26.34,412.05,Yes
1039-D634B9,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),79.23,3568.46,No
1040-EF7F15,Female,0,Yes,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.81,209.13,Yes
1041-A9002B,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,76.36,2521.22,Yes
1042-4BCB8D,Male,0,No,No,36,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),73.0,2647.52,No
1043-59701F,Female,0,Yes,No,13,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),22.92,302.26,No
1044-74E335,Female,0,Yes,Yes,31,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,72.22,2251.26,No
1045-088B84,Male,0,No,Yes,10,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.36,576.13,Yes
1046-C79BFA,Male,0,No,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.27,1120.89,No
1047-4725BB,Male,1,No,No,2,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,71.82,108.83,No
1048-B97DA3,Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),66.86,810.07,No
1049-9EFE06,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.11,6664.03,Yes
1050-3E3A30,Female,0,No,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),27.1,107.36,Yes
1051-D7F05A,Female,0,No,Yes,5,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,76.88,388.19,Yes
1052-8D9E4C,Male,0,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),65.53,2922.55,Yes
1053-C07DD9,Female,0,Yes,No,11,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,37.77,415.01,No
1054-D2BE94,Female,0,Yes,Yes,15,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),48.96,742.68,No
1055-F83F9B,Male,0,No,Yes,0,Yes,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),21.97,0.0,No
1056-945F3A,Male,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),91.65,0.0,No
1057-16EF68,Male,0,Yes,Yes,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,56.54,333.23,No
1058-70F979,Female,0,No,Yes,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,72.29,1244.86,No
1059-80B716,Male,0,No,Yes,72,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),61.03,4392.95,No
1060-5EFC44,Male,0,No,Yes,18,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,68.94,1245.17,No
1061-48D8C8,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),61.55,0.0,No
1062-CB53A5,Male,0,Yes,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,53.67,309.64,No
1063-75417E,Female,1,Yes,No,3,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),48.03,141.57,No
1064-E3573C,Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,72.1,225.06,Yes
1065-AC34CB,Male,1,No,No,33,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,1542.9,No
1066-AB5419,Male,0,Yes,No,16,Yes,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),33.24,542.57,No
1067-5F9331,Male,0,No,No,27,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,27.04,717.58,No
1068-28B4F8,Male,0,No,No,14,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),59.3,830.92,Yes
1069-41157A,Male,0,No,Yes,55,Yes,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),57.94,3178.81,Yes
1070-6DC42C,Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.97,2657.79,Yes
1071-6B0830,Male,1,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.6,4703.06,Yes
1072-3BB460,Female,1,Yes,No,29,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),39.99,1167.08,No
1073-D38CCB,Female,0,Yes,No,11,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.78,1035.14,Yes
1074-D9300D,Male,0,No,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,47.99,0.0,Yes
1075-73909A,Male,0,Yes,No,2,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,89.5,184.37,No
1076-EB0D02,Female,0,No,No,33,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,33.21,1128.67,No
1077-E1E5DA,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,45.98,146.4,No
1078-3B59EA,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,81.16,1000.63,No
1079-E2C0CB,Male,1,Yes,Yes,17,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,47.59,804.66,No
1080-6A26AD,Male,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,62.55,871.61,Yes
1081-8AE98B,Female,0,No,No,35,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,64.9,2290.98,No
1082-A42B2F,Male,0,Yes,Yes,1,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),28.48,35.21,Yes
1083-79C091,Female,0,Yes,No,67,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,18.0,1250.07,No
1084-A58CA9,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),81.75,1992.05,No
1085-512132,Male,1,No,Yes,53,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),90.04,4768.33,No
1086-DDB7C7,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.78,693.14,No
1087-5A05BF,Male,0,Yes,Yes,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.75,388.76,Yes
1088-87E86E,Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),73.49,2066.02,Yes
1089-07230E,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),96.77,680.72,Yes
1090-B7F65C,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,84.2,1090.09,No
1091-DC7572,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,71.8,455.15,No
1092-F72577,Female,0,Yes,No,13,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),32.02,424.71,Yes
1093-C29ACC,Male,0,No,Yes,7,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,45.62,300.84,No
1094-BF68BF,Male,1,No,No,26,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,65.51,1685.04,No
1095-FFD272,Female,1,Yes,No,3,No,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,18.0,57.38,No
1096-ADE238,Female,0,No,No,24,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,61.69,1481.03,No
1097-5EFFF0,Female,1,No,Yes,53,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),66.71,3555.33,No
1098-CC9CC2,Male,0,No,Yes,39,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,76.06,2967.15,Yes
1099-0FEC48,Female,0,No,No,2,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,50.49,94.82,Yes
1100-89FD0A,Male,0,Yes,No,1,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,34.0,68.33,No
1101-600D58,Male,0,No,No,4,Yes,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,55.87,206.7,Yes
1102-B92073,Male,0,Yes,No,32,No,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),53.58,1707.89,Yes
1103-FFF74C,Female,0,No,No,62,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Credit card (automatic),64.21,3993.01,No
1104-9CE269,Male,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),81.15,2089.98,No
1105-A94804,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,77.25,140.62,No
1106-8D7D53,Female,0,No,Yes,69,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.24,3447.34,Yes
1107-CE7CBE,Female,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),64.71,321.45,No
1108-BF14CC,Female,0,No,Yes,15,No,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),26.5,406.17,Yes
1109-B9F270,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.63,1210.55,No
1110-1FE892,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,70.4,265.01,Yes
1111-EA344E,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,83.45,738.51,Yes
1112-BD0433,Male,0,Yes,No,16,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,89.58,1443.51,Yes
1113-B88565,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,64.18,701.42,No
1114-C09FF5,Male,0,No,Yes,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),52.05,422.43,No
1115-B6E700,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,74.19,60.8,Yes
1116-E4153C,Male,1,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.98,2352.75,Yes
1117-A68245,Male,1,Yes,No,6,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,19.33,152.2,No
1118-526C93,Male,0,Yes,Yes,3,Yes,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),54.34,150.58,No
1119-3EE2DA,Male,0,No,No,22,Yes,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,49.33,1077.6,No
1120-4F874B,Male,0,No,Yes,42,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,29.51,1228.38,No
1121-51243F,Female,0,No,Yes,21,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),61.12,1280.64,No
1122-9CC369,Female,0,No,No,7,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,25.63,171.67,No
1123-67D9C6,Female,0,Yes,No,19,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,32.12,609.6,No
1124-7F1AF3,Female,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),76.46,846.32,No
1125-B591C5,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.11,723.74,No
1126-105609,Female,0,No,No,72,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),73.01,5271.91,No
1127-AFD4BC,Male,0,Yes,Yes,7,Yes,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,20.3,154.61,No
1128-3234AA,Female,0,No,Yes,11,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,299.36,Yes
1129-469ABC,Male,0,No,Yes,39,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,37.11,1439.39,No
1130-22E0F0,Female,1,Yes,No,15,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,58.43,889.94,No
1131-CA383F,Female,1,Yes,Yes,5,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,64.12,330.23,No
1132-71D911,Male,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),67.28,740.53,No
1133-99A319,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,80.24,1413.3,Yes
1134-A419CB,Female,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),48.77,679.87,No
1135-3C2012,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),82.37,3369.03,No
1136-D80D41,Male,0,Yes,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,59.1,56.58,No
1137-64EA0B,Female,0,Yes,No,0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Electronic check,30.47,0.0,Yes
1138-005000,Male,0,Yes,Yes,13,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,47.45,600.43,No
1139-009686,Female,0,No,No,38,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.28,2170.19,Yes
1140-07BCF8,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.04,47.9,No
1141-AA0B11,Male,0,Yes,Yes,9,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),49.68,424.83,No
1142-4F9881,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),89.69,1317.98,Yes
1143-AC32D9,Male,0,No,No,10,No,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,18.0,160.86,Yes
1144-97B50D,Female,0,No,Yes,66,No,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),71.0,4668.41,No
1145-B6F9EC,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.32,547.26,No
1146-990B90,Female,0,Yes,No,11,Yes,No phone service,No,No,No,No,No,No,No,Two year,Yes,Mailed check,48.67,538.25,No
1147-514CA7,Female,0,Yes,No,25,Yes,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,50.72,1280.85,Yes
1148-B83B05,Female,0,No,No,3,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.47,233.18,Yes
1149-F8773B,Male,0,No,Yes,62,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.98,4701.31,No
1150-7916A9,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,76.81,924.56,No
1151-15C003,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.99,2463.91,Yes
1152-BA767E,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),73.19,0.0,No
1153-B9C4C0,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,76.63,685.4,No
1154-4C0DD3,Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),72.04,968.08,No
1155-94E6B5,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.05,410.09,No
1156-89E883,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,70.43,0.0,No
1157-350FB2,Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),82.91,0.0,No
1158-9886D7,Female,1,Yes,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.3,2379.77,Yes
1159-805593,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,72.9,191.16,No
1160-2E6C41,Male,0,Yes,Yes,0,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),92.5,0.0,Yes
1161-2E05D2,Male,0,Yes,No,4,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,30.38,126.5,Yes
1162-7064C4,Female,0,No,Yes,19,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),37.31,721.35,No
1163-819859,Male,0,Yes,No,29,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),53.77,1546.24,Yes
1164-C94935,Male,0,No,Yes,6,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.25,91.45,No
1165-AABFBC,Female,1,No,No,8,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,63.71,506.84,Yes
1166-367834,Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.27,1310.71,Yes
1167-7FDFAE,Male,0,No,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),26.17,40.54,No
1168-903A61,Female,0,No,Yes,41,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),56.15,2286.8,Yes
1169-93D267,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,86.68,5868.44,No
1170-DF1A6C,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.53,171.95,No
1171-943D92,Female,0,No,No,12,No,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),80.47,979.7,No
1172-EF7AFB,Female,1,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,76.55,249.44,No
1173-9416FD,Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),76.8,3006.78,No
1174-4AD8B7,Female,0,No,No,0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.37,0.0,Yes
1175-163A57,Male,0,Yes,Yes,9,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,61.37,553.49,No
1176-73B2FB,Female,0,Yes,No,24,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Mailed check,54.33,1306.71,Yes
1177-A502F6,Female,0,No,No,6,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,18.0,121.89,No
1178-B64E76,Male,0,No,No,2,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),43.31,97.49,No
1179-FAEE1F,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.08,113.29,No
1180-F66EB7,Female,1,Yes,Yes,11,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,56.41,607.45,No
1181-BFA75D,Female,0,Yes,No,18,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,56.23,1037.82,Yes
1182-09FA64,Female,0,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.31,892.41,Yes
